Run Fondo;run_fondo_largo;nombre_fm;nombre_corto;vigencia;estado_liquidacion;tipo_fondo;rut_agf;razon_social_agf;fecha_deposito_fm;fecha_modificacion;fecha_inicio_operaciones;num_fecha_resolucion;fecha_cumplimiento_artley;fecha_termino_operaciones;numero_registro
10288;10288-1;FONDO MUTUO SANTANDER ESTRUCTURADO AHORRO+ DOLAR;ESTRUC AHORRO+ DOLAR;Vigente;;7-FM ESTRUCTURADO;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-06-14;2022-07-07;2022-07-11;-;2022-07-18;;FM222047
10294;10294-6;FONDO MUTUO ITAU PRINCIPAL LIFETIME 2030;ITAU LT 2030;Vigente;;6-FM DE LIBRE INVERSION;96980650-9;ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-06-23;;2022-07-25;-;;;FM222053
10295;10295-4;FONDO MUTUO ITAU PRINCIPAL LIFETIME 2040;ITAU LT 2040;Vigente;;6-FM DE LIBRE INVERSION;96980650-9;ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-06-23;;2022-07-25;-;;;FM222054
10296;10296-2;FONDO MUTUO ITAU PRINCIPAL LIFETIME 2050;ITAU LT 2050;Vigente;;6-FM DE LIBRE INVERSION;96980650-9;ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-06-23;;2022-07-25;-;;;FM222055
10297;10297-0;FONDO MUTUO ITAU PRINCIPAL LIFETIME 2060;ITAU LT 2060;Vigente;;6-FM DE LIBRE INVERSION;96980650-9;ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-06-23;;2022-07-25;-;;;FM222056
10298;10298-9;FONDO MUTUO SURA ESTRUCTURADO UF III CHILE;ESTRUCTURADO UF III;No Vigente;Liquidado;7-FM ESTRUCTURADO;76036521-1;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2022-06-30;;2022-07-12;-;2022-09-07;2023-08-14;FM222057
10300;10300-4;FONDO MUTUO CLEVER UF;CLEVER UF;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-04;2022-08-08;2022-07-13;-;2022-11-18;;FM222059
10303;10303-9;FONDO MUTUO BTG PACTUAL ESTRUCTURADO DÓLAR;ESTRUCTURADO DÓLAR;Vigente;;7-FM ESTRUCTURADO;96966250-7;BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-07-06;;2022-08-01;-;2022-08-16;;FM222062
10304;10304-7;FONDO MUTUO SANTANDER ESTRUCTURADO AHORRO+ III;ESTRUCT. AHORRO+ III;Vigente;;7-FM ESTRUCTURADO;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-07-11;2022-08-04;2022-08-04;-;2022-08-11;;FM222063
10311;10311-K;FONDO MUTUO ZURICH ESTRUCTURADO NOMINAL;ZCHESTRUCTURADO;Vigente;;7-FM ESTRUCTURADO;77750920-9;ZURICH CHILE ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-19;;2022-07-20;-;2022-08-16;;FM222070
10312;10312-8;FONDO MUTUO BTG PACTUAL ESTRUCTURADO PROTECCIÓN USA 100;PROTECCIÓN USA 100;Vigente;;7-FM ESTRUCTURADO;96966250-7;BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-07-19;;2022-07-29;-;;;FM222071
10313;10313-6;FONDO MUTUO BTG PACTUAL ESTRUCTURADO PROTECCIÓN USA 108;PROTECCIÓN USA 108;Vigente;;7-FM ESTRUCTURADO;96966250-7;BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-07-19;2022-07-26;2022-08-02;-;;;FM222072
10314;10314-4;FONDO MUTUO SURA ESTRUCTURADO PESOS II CHILE;ESTRUCT PESOS II CL;Vigente;;7-FM ESTRUCTURADO;76036521-1;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2022-07-20;;2022-07-28;-;2022-09-07;;FM222073
10315;10315-2;FONDO MUTUO BICE ESTRUCTURADO UF III;EST UF III;Vigente;;7-FM ESTRUCTURADO;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-21;;2022-08-08;-;2022-08-09;;FM222074
10317;10317-9;FONDO MUTUO BCI ESTRUCTURADO INVERSION DOLAR;FM BCI EST INV DOLAR;Vigente;;7-FM ESTRUCTURADO;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-07-25;;2022-07-27;-;2022-08-05;;FM222076
10319;10319-5;FONDO MUTUO BANCHILE ESTRUCTURADO DÓLAR;FM BCH ESTR DOLAR;Vigente;;7-FM ESTRUCTURADO;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-08-03;;2022-08-22;-;2022-08-24;;FM222078
10320;10320-9;FONDO MUTUO ELEVÉ PRUDENTE;ELEVÉ PRUDENTE;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;96955500-K;LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-12-16;2023-07-28;2022-08-22;-;;;FM222079
10322;10322-5;FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA NOMINAL II;RENTA NOMINAL II;Vigente;;7-FM ESTRUCTURADO;96836390-5;BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-08-09;2023-03-03;2022-08-10;-;2022-08-10;;FM222081
10327;10327-6;FONDO MUTUO CREDICORP CAPITAL INNOVACION LATAM;FM INNOVACION LATAM;Vigente;;6-FM DE LIBRE INVERSION;99549940-1;CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-02-02;2023-06-16;2022-12-07;-;;;FM222086
10329;10329-2;FONDO MUTUO PHI DEUDA CORPORATIVA CHILE;PHI DEUDA CORP;Vigente;;6-FM DE LIBRE INVERSION;77244875-9;PRUDENTIAL ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-02-16;2023-10-30;2022-11-10;-;2023-07-21;;FM222088
10330;10330-6;FONDO MUTUO PHI DEUDA INTERNACIONAL;PHI DEUDA INTERNAC;Vigente;;6-FM DE LIBRE INVERSION;77244875-9;PRUDENTIAL ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-02-17;2023-10-30;2022-11-10;-;2023-09-09;;FM222089
10331;10331-4;FONDO MUTUO PHI ACCIONES CHILENAS;PHI ACCIONES CHILENA;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;77244875-9;PRUDENTIAL ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-02-16;2023-10-30;2022-11-10;-;2023-08-02;;FM222090
10332;10332-2;FONDO MUTUO PHI RENTA VARIABLE ESTRATEGIA GLOBAL;PHI RENTA VARIABLE;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;77244875-9;PRUDENTIAL ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-02-17;2023-10-30;2022-11-10;-;2023-09-09;;FM222091
10337;10337-3;FONDO MUTUO SANTANDER ESTRUCTURADO AHORRO+ IV;ESTRUC AHORRO IV;Vigente;;7-FM ESTRUCTURADO;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-09-07;2022-10-26;2022-10-07;-;2022-10-13;;FM222096
10338;10338-1;FONDO MUTUO SANTANDER ESTRUCTURADO UPSIDE TECH;EST UPSIDE TECH;Vigente;;7-FM ESTRUCTURADO;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-09-07;2022-10-26;2022-10-07;-;2022-10-18;;FM222097
10342;10342-K;FONDO MUTUO SCOTIA ESTRUCTURADO DEUDA UF;ESTRUCTURADO DEUDAUF;Vigente;;7-FM ESTRUCTURADO;96634320-6;SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2022-09-21;2022-10-25;2022-09-26;-;2022-09-28;;FM222101
10345;10345-4;FONDO MUTUO SECURITY ESTRUCTURADO PESOS;FM ESTRUCTURADO CLP;Vigente;;7-FM ESTRUCTURADO;96639280-0;ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2022-09-28;;2022-09-29;-;2022-10-06;;FM222104
10346;10346-2;FONDO MUTUO MBI DEUDA NOMINAL;MBI DEUDA NOMINAL;Vigente;;3-FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO;99543100-9;MBI ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-09-29;2023-01-24;2022-10-20;-;2022-11-16;;FM222105
10347;10347-0;FONDO MUTUO SURA MONETARIO I CHILE;MONETARIO I CHILE;Vigente;;1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS;76036521-1;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2023-10-25;2023-11-13;2022-10-13;-;2022-10-19;;FM222106
10350;10350-0;FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA NOMINAL III;RENTA NOMINAL III;Vigente;;7-FM ESTRUCTURADO;96836390-5;BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-10-07;2023-03-03;2022-10-11;-;2022-10-12;;FM222109
10351;10351-9;FONDO MUTUO SURA ESTRUCTURADO PESOS III CHILE;ESTRUCTURADO III;Vigente;;7-FM ESTRUCTURADO;76036521-1;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2022-10-07;2022-10-25;2022-10-17;-;2022-10-21;;FM222110
10353;10353-5;FONDO MUTUO BANCHILE DEPÓSITO PLUS XI;FM BCH DEP PLUS XI;Vigente;;7-FM ESTRUCTURADO;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-10-13;;2022-10-17;-;2022-10-18;;FM222112
10355;10355-1;FONDO MUTUO BICE ESTRUCTURADO UF IV;ESTRUCTURADO UF IV;Vigente;;7-FM ESTRUCTURADO;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-10-18;2023-05-29;2022-11-02;-;2022-11-04;;FM222114
10358;10358-6;FONDO MUTUO BCI MACH;FM BCI MACH;Vigente;;1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-10-20;;2022-11-11;-;;;FM222117
10359;10359-4;FONDO MUTUO BANCHILE DEPÓSITO PLUS XII;FM BCH DEP PLUS XII;No Vigente;Liquidado;7-FM ESTRUCTURADO;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-10-20;;2022-10-21;-;2022-10-24;2023-11-06;FM222118
10360;10360-8;FONDO MUTUO BANCOESTADO CHILE ECOLOGICO;CHILE ECOLOGICO;Vigente;;6-FM DE LIBRE INVERSION;96836390-5;BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-12-09;2023-07-10;2022-11-03;-;2022-11-18;;FM222119
10364;10364-0;FONDO MUTUO BCI ESTRUCTURADO INVERSION NOMINAL III;FM BCI ESTRU NOM III;Vigente;;7-FM ESTRUCTURADO;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-10-24;;2022-10-25;-;2022-10-26;;FM222123
10367;10367-5;FONDO MUTUO BICE DIGITAL RENTA UF;DIGITAL RENTA UF;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-25;2023-08-11;2022-12-16;-;2023-07-07;;FM222126
10368;10368-3;FONDO MUTUO BICE DIGITAL LIQUIDEZ PESOS;DIGITAL LIQ PESOS;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-10-28;;2022-12-15;-;2023-03-21;;FM222127
10369;10369-1;FONDO MUTUO BICE DIGITAL ACCIONES CHILE ACTIVO;DIGITAL CHILE ACTIVO;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-10-28;2022-12-01;2022-12-16;-;;;FM222128
10370;10370-5;FONDO MUTUO BICE DIGITAL ACCIONES MUNDO SUSTENTABLE;DIGITAL MUNDO SUSTEN;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-10-28;2022-12-01;2022-12-16;-;;;FM222129
10372;10372-1;FONDO MUTUO SECURITY ESTRUCTURADO UF;ESTRUCTURADO UF;Vigente;;7-FM ESTRUCTURADO;96639280-0;ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2022-11-02;;2022-11-03;-;2022-11-08;;FM222131
10373;10373-K;FONDO MUTUO SURA ESTRUCTURADO UF V CHILE;ESTRUCTURADO UF V;Vigente;;7-FM ESTRUCTURADO;76036521-1;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2022-11-02;;2022-11-09;-;2022-11-12;;FM222132
10374;10374-8;FONDO MUTUO BTG PACTUAL ESTRUCTURADO UF IV;ESTRUCTURADO UF IV;Vigente;;7-FM ESTRUCTURADO;96966250-7;BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-11-03;;2022-11-16;-;2022-11-28;;FM222133
10375;10375-6;FONDO MUTUO CREDICORP CAPITAL TOTAL RETURN;FFMM CC TOTAL RETURN;Vigente;;6-FM DE LIBRE INVERSION;99549940-1;CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-12-05;2023-06-30;2023-01-31;-;2023-02-02;;FM222134
10377;10377-2;FONDO MUTUO BANCHILE DEPÓSITO UF PLUS I;FM BCH DEPOSITO UF I;Vigente;;7-FM ESTRUCTURADO;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-07;;2022-11-09;-;2022-11-09;;FM222136
10378;10378-0;FONDO MUTUO ESTRUCTURADO CREDICORP CAPITAL RENTA NOMINAL;FM CC RETORNO NOMINA;Vigente;;7-FM ESTRUCTURADO;99549940-1;CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-11-07;;2022-12-07;-;2022-12-26;;FM222137
10379;10379-9;FONDO MUTUO BTG PACTUAL ESTRUCTURADO DÓLAR II;ESTRUCT. DÓLAR II;Vigente;;7-FM ESTRUCTURADO;96966250-7;BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-11-16;;2022-12-05;-;2023-01-31;;FM222138
10383;10383-7;FONDO MUTUO TOESCA WALLET HOLDO;TOESCA WALLET HOLDO;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;96576660-k;TOESCA S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-11-24;2023-07-21;2022-11-30;-;2023-10-23;;FM222142
10384;10384-5;FONDO MUTUO SARTOR DEUDA CORTO PLAZO I;DEUDA CORTO PLAZO I;Vigente;;8-FM DIRIGIDO A INVERSIONISTAS CALIFICADOS;76576607-9;SARTOR ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-25;2023-01-26;2022-12-29;-;;;FM222143
10385;10385-3;FONDO MUTUO SARTOR MIXTO I;SARTOR MIXTO I;Vigente;;8-FM DIRIGIDO A INVERSIONISTAS CALIFICADOS;76576607-9;SARTOR ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-25;2023-01-24;2022-11-29;-;;;FM222144
10386;10386-1;FONDO MUTUO SARTOR MIXTO III;SARTOR MIXTO III;Vigente;;8-FM DIRIGIDO A INVERSIONISTAS CALIFICADOS;76576607-9;SARTOR ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-25;2023-01-24;2022-11-29;-;;;FM222145
10387;10387-K;FONDO MUTUO SARTOR DEUDA CORTO PLAZO III;CORTO PLAZO III;Vigente;;8-FM DIRIGIDO A INVERSIONISTAS CALIFICADOS;76576607-9;SARTOR ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-25;2023-01-26;2022-12-29;-;;;FM222146
10388;10388-8;FONDO MUTUO SARTOR DEUDA CORTO PLAZO II;DEUDA CORTO PLAZO II;Vigente;;8-FM DIRIGIDO A INVERSIONISTAS CALIFICADOS;76576607-9;SARTOR ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-25;2023-01-26;2022-12-29;-;;;FM222147
10389;10389-6;FONDO MUTUO SARTOR MIXTO II;SARTOR MIXTO II;Vigente;;8-FM DIRIGIDO A INVERSIONISTAS CALIFICADOS;76576607-9;SARTOR ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-25;2023-01-24;2022-11-29;-;;;FM222148
10392;10392-6;FONDO MUTUO SCOTIA ACCIONES SUSTENTABLES GLOBAL DÓLAR;ACC.SUSTENT.DÓLAR;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;96634320-6;SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2022-12-01;;2023-04-17;-;2023-08-05;;FM222151
10393;10393-4;FONDO MUTUO SCOTIA DEUDA SUSTENTABLE GLOBAL DÓLAR;DEUDA SUSTEN.DÓLAR;Vigente;;6-FM DE LIBRE INVERSION;96634320-6;SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2022-12-01;;2023-04-17;-;2023-08-05;;FM222152
10395;10395-0;FONDO MUTUO SANTANDER ESTRUCTURADO AHORRO+ UF;EST AHORRO+ UF;Vigente;;7-FM ESTRUCTURADO;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-12-13;;2023-01-09;-;2023-01-10;;FM222154
10411;10411-6;FONDO MUTUO SCOTIA ESTRUCTURADO DEUDA NOMINAL;ESTRUC.DEUDA NOMINAL;Vigente;;7-FM ESTRUCTURADO;96634320-6;SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2023-01-13;;2023-01-23;-;2023-01-25;;FM232170
10415;10415-9;FONDO MUTUO SURA ESTRUCTURADO UF VI CHILE;ESTRUCTURADO UF VI;Vigente;;7-FM ESTRUCTURADO;76036521-1;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2023-01-19;2023-04-04;2023-01-25;-;2023-01-30;;FM232174
10421;10421-3;FONDO MUTUO SURA ESTRUCTURADO PESOS IV CHILE;ESTRUCTURA PESOS IV;Vigente;;7-FM ESTRUCTURADO;76036521-1;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2023-02-03;;2023-02-10;-;2023-02-14;;FM232180
10422;10422-1;FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA NOMINAL IV;RENTA NOMINAL IV;Vigente;;7-FM ESTRUCTURADO;96836390-5;BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-02-16;2023-03-03;2023-02-15;-;2023-02-22;;FM232181
10424;10424-8;FONDO MUTUO SANTANDER ESTRUCTURADO AHORRO+ UF II;ESTRUC AHORRO+ UF II;Vigente;;7-FM ESTRUCTURADO;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-02-22;;2023-03-08;-;2023-03-10;;FM232183
10430;10430-2;FONDO MUTUO BICE ESTRUCTURADO UF V;EST UF V;Vigente;;7-FM ESTRUCTURADO;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-03-01;;2023-03-15;-;2023-03-16;;FM232189
10431;10431-0;FONDO MUTUO COMPASS LIQUIDEZ;LIQUIDEZ;Vigente;;1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS;96804330-7;COMPASS GROUP CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-03-01;2023-03-14;2023-03-15;-;2023-03-15;;FM232190
10432;10432-9;FONDO MUTUO BANCHILE DEPÓSITO PLUS XIII;FM BCH DEP PLUS XIII;Vigente;;7-FM ESTRUCTURADO;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-03-03;;2023-03-08;-;2023-03-09;;FM232191
10433;10433-7;FONDO MUTUO BANCHILE USA NIVEL 100;FM BCH USA NIVEL 100;Vigente;;7-FM ESTRUCTURADO;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-03-03;;2023-03-08;-;2023-03-09;;FM232192
10441;10441-8;FONDO MUTUO COOPEUCH COMPASS LIQUIDEZ;COOPEUCH LIQUIDEZ;Vigente;;6-FM DE LIBRE INVERSION;96804330-7;COMPASS GROUP CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-03-15;;2023-03-23;-;2023-07-26;;FM232200
10442;10442-6;FONDO MUTUO SANTANDER ESTRUCTURADO AHORRO+ UF III;ESTRUC AHORRO UF III;Vigente;;7-FM ESTRUCTURADO;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-03-15;;2023-05-03;-;2023-05-08;;FM232201
10446;10446-9;FONDO MUTUO BANCHILE DEPÓSITO PLUS XIV;FM BCH DEP PLUS XIV;Vigente;;7-FM ESTRUCTURADO;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-03-30;;2023-04-03;-;2023-04-04;;FM232205
10447;10447-7;FONDO MUTUO SURA ESTRUCTURADO UF VII CHILE;ESTRUCTURADO UF VII;Vigente;;7-FM ESTRUCTURADO;76036521-1;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2023-03-30;;2023-04-24;-;2023-04-27;;FM232206
10450;10450-7;FONDO MUTUO BI LIQUIDEZ DOLAR;LIQUIDEZ DOLAR;Vigente;;1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS;76930984-5;BANCO INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-04-28;2023-10-04;2023-05-04;-;;;FM232209
10451;10451-5;FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA NOMINAL V;RENTA NOMINAL V;Vigente;;7-FM ESTRUCTURADO;96836390-5;BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-04-06;;2023-04-10;-;2023-04-17;;FM232210
10452;10452-3;FONDO MUTUO BCI ESTRUCTURADO INVERSION NOMINAL IV;FM BCI EST. IN.NO IV;Vigente;;7-FM ESTRUCTURADO;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-04-06;;2023-04-10;-;2023-04-13;;FM232211
10454;10454-K;FONDO MUTUO ZURICH DEUDA CORPORATIVA DESARROLLADA;ZDCORP.DESARROLLADA;Vigente;;5-FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION;77750920-9;ZURICH CHILE ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-04-13;2023-10-03;2023-04-24;-;2023-05-30;;FM232213
10456;10456-6;FONDO MUTUO SECURITY ESTRUCTURADO PESOS II;ESTRUCTURADO CLP 2;Vigente;;7-FM ESTRUCTURADO;96639280-0;ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2023-04-14;;2023-04-18;-;2023-04-25;;FM232215
10457;10457-4;FONDO MUTUO BTG PACTUAL ESTRUCTURADO NOMINAL 2024;NOMINAL 2024;Vigente;;7-FM ESTRUCTURADO;96966250-7;BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-04-18;2023-05-09;2023-05-02;-;2023-05-04;;FM232216
10460;10460-4;FONDO MUTUO SCOTIA ESTRUCTURADO DEUDA NOMINAL II;EST.DEUDA NOMINAL II;Vigente;;7-FM ESTRUCTURADO;96634320-6;SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2023-04-21;;2023-05-08;-;2023-05-09;;FM232219
10461;10461-2;FONDO MUTUO LARRAINVIAL AHORRO UF;AHORRO UF;Vigente;;6-FM DE LIBRE INVERSION;96955500-K;LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-04-21;2023-08-11;2023-05-05;-;2023-05-16;;FM232220
10471;10471-K;FONDO MUTUO BCI ESTRUCTURADO INVERSION NOMINAL V;FM BCI EST INV NOM V;Vigente;;7-FM ESTRUCTURADO;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-05-26;;2023-05-29;-;2023-05-31;;FM232230
10473;10473-6;FONDO MUTUO SURA ESTRUCTURADO UF VIII CHILE;ESTRUCTURADO UF VIII;Vigente;;7-FM ESTRUCTURADO;76036521-1;ADMINISTRADORA GENERAL DE FONDOS SURA S.A.;2023-06-02;;2023-06-06;-;2023-06-09;;FM232232
10476;10476-0;FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA NOMINAL VI;RENTA NOMINAL VI;Vigente;;7-FM ESTRUCTURADO;96836390-5;BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-06-09;;2023-06-12;-;2023-06-12;;FM232235
10478;10478-7;FONDO MUTUO BCI AHORRO DIGITAL;FM BCI AD;Vigente;;1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-06-15;;2023-06-27;-;2023-07-31;;FM232237
10479;10479-5;FONDO MUTUO BTG PACTUAL ESTRUCTURADO NOMINAL 2024 II;NOMINAL 2024 II;Vigente;;7-FM ESTRUCTURADO;96966250-7;BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2023-06-16;;2023-07-03;-;2023-07-06;;FM232238
10480;10480-9;FONDO MUTUO SECURITY PROTEGIDO;PROTEGIDO;Vigente;;6-FM DE LIBRE INVERSION;96639280-0;ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2023-06-20;;2023-06-23;-;2023-07-31;;FM232239
10481;10481-7;FONDO MUTUO SECURITY JUGADO;JUGADO;Vigente;;6-FM DE LIBRE INVERSION;96639280-0;ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2023-06-20;;2023-06-23;-;;;FM232240
10482;10482-5;FONDO MUTUO SECURITY DEFENSIVO;DEFENSIVO;Vigente;;6-FM DE LIBRE INVERSION;96639280-0;ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2023-06-20;;2023-06-23;-;2023-07-19;;FM232241
10483;10483-3;FONDO MUTUO SECURITY BALANCEADO;BALANCEADO;Vigente;;6-FM DE LIBRE INVERSION;96639280-0;ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2023-06-20;;2023-06-23;-;2023-08-02;;FM232242
10484;10484-1;FONDO MUTUO SECURITY AUDAZ;AUDAZ;Vigente;;6-FM DE LIBRE INVERSION;96639280-0;ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2023-06-20;;2023-06-23;-;;;FM232243
10486;10486-8;FONDO MUTUO ITAU ESTRUCTURADO UF FEBRERO 2025;UF FEBRERO 2025;Vigente;;7-FM ESTRUCTURADO;96980650-9;ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-06-29;2023-07-04;2023-07-04;-;2023-07-12;;FM232245
